Rank,Title,Theaters,Total Gross,Release Date,Distributor
68,Beau Is Afraid,"2,125","$8,176,562 ",4/14/2023 0:00,A24
69,Sisu,"1,006","$7,265,622 ",4/28/2023 0:00,Lionsgate
70,Star Wars: Episode VI - Return of the Jedi2023 Re-release,475,"$7,259,924 ",4/28/2023 0:00,'-
71,Operation Fortune: Ruse de Guerre,"2,168","$6,496,125 ",3/3/2023 0:00,Lionsgate
72,BTS: Yet to Come in Cinemas,"1,210","$8,093,270 ",2/1/2023 0:00,Trafalgar Releasing
73,Babylon,"3,351","$15,351,455 ",12/23/2023 0:00,Paramount Pictures
74,Love Again,"2,703","$6,230,837 ",5/5/2023 0:00,Screen Gems
75,The Fabelmans,"1,962","$17,348,945 ",11/11/2023 0:00,Universal Pictures
76,The Chosen Season 3 Finale,"1,979","$5,525,069 ",2/2/2023 0:00,Fathom Events
77,Nefarious,933,"$5,433,685 ",4/14/2023 0:00,Soli Deo Gloria Releasing
78,Big George Foreman,"3,054","$5,426,772 ",4/28/2023 0:00,Sony Pictures Entertainment (SPE)
79,Women Talking,707,"$5,456,531 ",12/23/2023 0:00,United Artists Releasing
80,Infinity Pool,"1,835","$5,078,400 ",1/27/2023 0:00,Neon
81,You Hurt My Feelings,912,"$4,830,788 ",5/26/2023 0:00,A24
82,Kandahar,"2,105","$4,813,132 ",5/26/2023 0:00,Open Road Films (II)
83,Hypnotic,"2,118","$4,500,169 ",5/12/2023 0:00,Ketchup Entertainment
84,Marlowe,"2,281","$4,350,243 ",2/15/2023 0:00,Open Road Films (II)
85,The Amazing Maurice,"1,717","$4,303,645 ",2/3/2023 0:00,Viva Pictures
86,Mummies,384,"$4,275,970 ",2/24/2023 0:00,Warner Bros.
87,Retribution,"1,750","$3,821,285 ",8/25/2023 0:00,Roadside Attractions
89,Left Behind: Rise of the Antichrist,"1,407","$3,649,422 ",1/26/2023 0:00,Fathom Events
90,Theater Camp,555,"$3,644,801 ",7/14/2023 0:00,Searchlight Pictures
91,The Journey: A Music Special from Andrea Bocelli,"1,074","$3,574,915 ",4/2/2023 0:00,Fathom Events
92,Chevalier,"1,281","$3,541,159 ",4/21/2023 0:00,Walt Disney Studios Motion Pictures
93,Mafia Mamma,"2,002","$3,496,761 ",4/14/2023 0:00,Bleecker Street Media
94,The Wandering Earth II,172,"$5,023,132 ",1/22/2023 0:00,Well Go USA Entertainment
95,A Thousand and One,926,"$3,400,020 ",3/31/2023 0:00,Focus Features
96,Violent Night,"3,723","$50,057,405 ",12/2/2023 0:00,Universal Pictures
97,2023 Oscar Nominated Short Films: Live Action,357,"$3,025,631 ",2/17/2023 0:00,ShortsTV
98,Living,644,"$3,038,113 ",12/23/2023 0:00,Sony Pictures Classics
99,The Menu,"3,228","$38,501,125 ",11/18/2023 0:00,Searchlight Pictures
100,The Hill,"1,570","$2,515,612 ",8/25/2023 0:00,Briarcliff Entertainment
101,Tu Jhoothi Main Makkaar,400,"$2,503,604 ",3/8/2023 0:00,Yash Raj Films USA Inc.
102,Come Out in Jesus Name,"1,047","$2,500,574 ",3/13/2023 0:00,Fathom Events
103,A Good Person,687,"$2,210,465 ",3/24/2023 0:00,United Artists Releasing
104,Moving On,794,"$2,136,832 ",3/17/2023 0:00,Roadside Attractions
105,The Miracle Club,677,"$2,104,152 ",7/14/2023 0:00,Sony Pictures Entertainment (SPE)
106,Skinamarink,809,"$2,052,272 ",1/13/2023 0:00,IFC Films
107,Jurassic Park2023 Re-release (30th Anniversary),"1,224","$1,864,240 ",8/25/2023 0:00,Universal Pictures
108,Golda,883,"$1,856,809 ",8/25/2023 0:00,Bleecker Street Media
109,Somewhere in Queens,602,"$1,802,442 ",4/21/2023 0:00,Roadside Attractions
110,Jules,780,"$1,775,876 ",8/11/2023 0:00,Bleecker Street Media
111,Winnie the Pooh: Blood and Honey,"1,652","$1,750,639 ",2/15/2023 0:00,Fathom Events
112,Fear,974,"$2,090,261 ",1/27/2023 0:00,Hidden Empire Film Group (HEFG)
113,Lost in the Stars,'-,"$1,721,446 ",7/7/2023 0:00,CMC Pictures
114,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"1,473","$1,588,491 ",1/20/2023 0:00,Crunchyroll
115,The Banshees of Inisherin,"1,205","$10,582,266 ",10/21/2023 0:00,Searchlight Pictures
116,Polite Society,927,"$1,545,600 ",4/28/2023 0:00,Focus Features
117,The Quiet Girl,244,"$1,500,014 ",2/24/2023 0:00,Neon
118,BlackBerry,449,"$1,476,597 ",5/12/2023 0:00,IFC Films
119,Spirited Away2023 Re-release (Live on Stage),"1,046","$1,455,081 ",4/23/2023 0:00,Fathom Events
120,Oldboy2023 Re-release,250,"$1,443,314 ",8/16/2023 0:00,'-
121,Maybe I Do,465,"$1,293,722 ",1/27/2023 0:00,Vertical Entertainment
122,Billie Eilish Live at the O2,600,"$1,290,000 ",1/27/2023 0:00,Trafalgar Releasing
123,The First Slam Dunk,581,"$1,256,517 ",7/28/2023 0:00,GKIDS
124,Tár,"1,090","$6,773,650 ",10/7/2023 0:00,Focus Features
125,The Lost King,753,"$1,188,032 ",3/24/2023 0:00,IFC Films
126,The Lord of the Rings: The Return of the King20th Anniversary,"1,107","$1,176,085 ",4/13/2023 0:00,Fathom Events
127,Strange World,"4,174","$37,968,963 ",11/23/2023 0:00,Walt Disney Studios Motion Pictures
128,Close,233,"$1,100,113 ",1/27/2023 0:00,A24
129,Emily,579,"$1,097,067 ",2/17/2023 0:00,Bleecker Street Media
130,Knights of the Zodiac,588,"$1,090,155 ",5/12/2023 0:00,'-
131,Broker,271,"$1,046,899 ",12/23/2023 0:00,Neon
132,Showing Up,115,"$754,483 ",4/7/2023 0:00,A24
133,The Roundup: No Way Out,41,"$909,411 ",6/2/2023 0:00,Capelight Pictures
134,Inside,357,"$897,190 ",3/17/2023 0:00,Focus Features
135,Fool's Paradise,794,"$855,173 ",5/12/2023 0:00,Roadside Attractions
136,Paint,819,"$811,739 ",4/7/2023 0:00,IFC Films
137,Return to Seoul,103,"$798,774 ",2/17/2023 0:00,Sony Pictures Classics
138,Hidden Blade,62,"$803,189 ",2/17/2023 0:00,Well Go USA Entertainment
139,The Devil Conspiracy,925,"$765,218 ",1/13/2023 0:00,'-
140,Roll with It,725,"$757,981 ",5/9/2023 0:00,Fathom Events
141,How to Blow Up a Pipeline,530,"$750,010 ",4/7/2023 0:00,'-
